title,vector
Cabin in the Sky,"[-0.03464997, -0.17952922, -0.13292034, 0.11054385, 0.0144309, 0.12534209, 0.30740964, 0.09399877, 0.24221334, 0.26107088, -0.02985034, -0.04765865, -0.2675872, -0.04926791, -0.19262113, -0.21774004, 0.11215256, 0.20922692, -0.03155309, -0.0616711, -0.22347769, 0.13910042, -0.03086836, -0.2226529, 0.12277758, -0.05778245, 0.48301163, 0.1901649, 0.17242335, 0.1670248, -0.08142481, -0.10177036, 0.38956746, -0.07625918, 0.05940402, -0.22274631, 0.08580205, -0.06378285, -0.14292261, -0.07982387, -0.36942536, 0.16751474, -0.03652621, -0.00927687, 0.04456774, 0.01610716, 0.01640676, 0.1891718, 0.17988352, -0.04809596, -0.48884597, 0.24801278, -0.01114629, -0.1912554, -0.1442554, -0.07941087, -0.05047792, 0.04258633, 0.28263068, -0.05594885, 0.1947851, -0.38381195, -0.00526353, -0.12478445, -0.00175864, -0.04140706, 0.22481462, -0.19302233, -0.03414275, 0.2683494, -0.05342156, 0.0923223, 0.18899016, -0.02713372, -0.20823322, -0.21597096, -0.1809845, -0.17612934, -0.10775023, -0.06357796, -0.11330228, 0.02173872, -0.3022762, -0.19911791, -0.09499098, 0.12857804, 0.0828395, 0.19919856, -0.21256736, 0.3180502, 0.01116116, -0.13295475, 0.58282405, 0.18723476, -0.03960384, 0.08906396]"
The Women,"[0.09976342, -0.15947643, -0.07150511, 0.01449011, 0.23515512, 0.19085969, 0.3406565, 0.24392787, 0.05298797, -0.04483165, -0.0118103, -0.13800809, -0.26078528, -0.28199205, -0.3236656, -0.07921791, 0.02622929, 0.42979985, -0.11803628, -0.02339737, -0.02820401, 0.15100218, 0.02470938, -0.26397923, 0.15187286, -0.06324984, 0.31791738, 0.1695648, 0.2690465, -0.05825127, 0.05441376, -0.2482811, 0.27645904, -0.18026176, -0.08682474, -0.14753576, 0.30188015, 0.02338965, -0.1087889, -0.11738659, -0.31864876, 0.3414834, 0.0422799, 0.11425146, -0.05676191, -0.01076605, -0.08554613, 0.20417093, 0.18727286, -0.10767908, -0.27195686, 0.12784459, 0.19577919, -0.16405243, -0.37265164, 0.03008292, -0.10503657, 0.09206779, 0.01621928, -0.08845027, 0.15053573, -0.29586774, -0.12121677, -0.04109466, 0.21431915, -0.01032252, 0.24139033, 0.09472135, 0.02700868, -0.05795471, 0.2722116, 0.16686894, 0.3928602, -0.23285364, -0.2520041, -0.2997437, -0.34815004, -0.32308233, -0.10988852, -0.48634276, -0.13764872, 0.06993167, -0.09149671, -0.13746911, -0.13450006, 0.1233369, 0.15340438, 0.1319848, -0.4121632, 0.28259516, -0.03316436, 0.02587972, 0.61696255, 0.35275742, -0.28169826, 0.13153136]"
The Lost City of Z,"[0.17901567, -0.17287147, -0.01942821, 0.044277, 0.12838848, 0.41231266, 0.2688359, 0.11514448, 0.00681162, 0.00706755, -0.1762441, -0.02486853, -0.24818726, -0.0333262, -0.07408264, -0.1643239, -0.00203047, 0.20892695, 0.05626381, 0.10848289, -0.07254954, 0.14403883, 0.06774531, -0.28628254, 0.15184812, 0.01719941, 0.37828153, 0.01545519, 0.24538942, 0.14828451, 0.06144221, -0.20839797, 0.32298517, -0.11819214, -0.05487867, -0.3243053, 0.10378339, 0.17533359, -0.13882318, -0.19748455, -0.32212678, 0.3673972, -0.20714661, -0.12300041, 0.2998023, 0.05409904, -0.12039426, -0.0335338, 0.22402938, 0.05315794, -0.43448523, 0.20817311, 0.0662302, 0.08982942, -0.18666597, 0.19097285, -0.01690994, -0.0088367, -0.03364027, -0.13882837, 0.05836495, -0.5444357, 0.02946928, -0.18310046, 0.32753325, -0.19660361, 0.18132569, -0.12816828, 0.06331119, 0.24752104, 0.12329454, 0.23782738, 0.00767075, 0.06031869, -0.3592875, -0.2852106, -0.4390996, -0.275323, -0.04992873, -0.28013515, -0.3290865, 0.06228663, -0.10398573, 0.03828166, -0.05815329, 0.22038446, 0.26550713, 0.2037415, -0.2178457, 0.25627372, -0.0911867, 0.17612101, 0.35972014, 0.23450337, -0.27991423, 0.07613824]"
Candy Razors,"[-0.13731055, -0.11292651, -0.08732378, 0.15417089, 0.17539193, 0.1629373, 0.41716444, 0.31852046, 0.33320245, 0.05453774, 0.16882305, -0.16706297, -0.26701996, 0.0303471, -0.16223218, -0.13269165, -0.11431881, 0.27009, 0.09525175, -0.09819367, -0.33106348, 0.19339082, -0.08221954, 0.01611397, 0.31782788, 0.08869936, 0.3230899, -0.002455, -0.05857901, 0.00660406, -0.09264882, -0.0079303, 0.38388932, 0.15162924, -0.0824126, -0.16338539, 0.16589965, 0.16193324, -0.16030851, -0.16184057, -0.24624535, -0.00310973, -0.10572773, 0.10322597, -0.2477504, 0.06331156, 0.097535, 0.320049, 0.2597533, -0.19883364, -0.34043387, -0.02670097, 0.08920699, -0.08177596, -0.26245686, -0.12467745, -0.24964757, -0.36200094, 0.12745687, -0.02324735, 0.17496814, -0.4189951, 0.01414013, -0.06880722, 0.04310703, 0.18232706, -0.03048355, -0.13321376, -0.04877043, 0.14591652, 0.04358588, 0.12731415, 0.19096641, -0.10716134, -0.15367086, -0.12361233, -0.47776103, -0.09432158, -0.12334429, -0.21379878, -0.10317863, -0.20532964, -0.52360034, -0.07107627, 0.07251784, 0.09751107, 0.05329654, 0.3881341, -0.24371356, 0.42305472, -0.07167064, -0.09135161, 0.69938976, 0.21550955, -0.16444643, 0.20488136]"
Earthquake,"[0.15592733, -0.303072, 0.05442653, 0.08253153, 0.22813317, 0.2667328, 0.2084063, 0.3791678, -0.02076737, -0.04258369, -0.18198125, -0.01507718, -0.22438848, -0.12768665, -0.23980607, -0.1891437, -0.14821021, 0.14830951, -0.2351473, 0.02584608, 0.05365835, 0.19130789, -0.06094269, -0.2225085, 0.3107341, -0.07169136, 0.5061201, 0.14847253, 0.54761875, 0.16298573, -0.0347442, -0.17922479, 0.27474084, -0.2270204, -0.0282347, -0.03775499, 0.16800095, 0.11064681, -0.09541563, -0.09123225, -0.1749429, 0.43165025, -0.1035301, 0.11099236, 0.06068207, 0.13721453, -0.29847676, -0.02357201, -0.08689759, -0.09354118, -0.21135077, -0.00952942, 0.19305246, -0.16561112, -0.29487374, 0.04732848, -0.09904559, 0.26067498, -0.1906572, -0.08116934, -0.04845674, -0.36283064, -0.1458185, -0.3058265, 0.23075564, -0.1107522, 0.31267944, -0.01599132, 0.15605319, 0.12361594, 0.1330851, 0.2737248, 0.27667874, -0.18839245, -0.21624723, -0.28873166, -0.3192196, -0.3466186, -0.05577236, -0.4165338, -0.02235916, -0.13746288, -0.11015323, -0.24957974, 0.07884055, 0.10563309, 0.14977966, 0.11941243, -0.53224987, 0.38264254, -0.17628872, 0.1846979, 0.50474364, 0.2958695, -0.31033605, 0.17074211]"
Out Cold,"[-0.18402983, -0.19214576, -0.2353363, 0.2146839, 0.0737939, 0.11130083, 0.2884154, 0.3211288, 0.00920253, 0.26297072, -0.01623677, 0.04685287, -0.28852358, -0.3074042, -0.11323735, -0.10826329, -0.13462721, 0.26541483, -0.15384185, -0.17536229, -0.26520902, 0.24237303, -0.29038244, -0.11300718, 0.42645198, 0.15721838, 0.7835666, 0.2456763, 0.10255981, 0.15280448, -0.03818323, -0.24439523, 0.18884102, 0.00259996, 0.02230791, -0.2511368, 0.2877845, 0.22352281, -0.22554775, -0.20770115, -0.40445966, 0.24828775, -0.14696483, 0.20934814, -0.02855801, -0.02415106, 0.05290973, 0.22142819, 0.24888878, -0.17778446, -0.3859427, 0.16468674, 0.148384, -0.2830274, -0.5220594, 0.10320873, -0.20231788, 0.15219854, 0.14373499, -0.2080573, -0.01279585, -0.16060287, -0.03272213, 0.07277881, 0.0942774, -0.01349317, 0.25858796, 0.13871114, -0.05270585, 0.20076247, 0.2239221, 0.23008037, 0.20336299, -0.22930406, -0.17988189, -0.39798918, -0.43840268, -0.22246625, -0.17478411, -0.2701316, -0.0448234, 0.13954774, -0.24810442, -0.23738666, -0.11343343, 0.07683194, 0.24459495, 0.09329093, -0.33343062, 0.09408735, -0.30557603, -0.01200671, 0.86524135, 0.24008302, -0.09480945, 0.03392129]"
Videocracy,"[0.09232959, -0.14368547, -0.05800277, 0.02196345, 0.04305081, 0.18835144, 0.35824636, 0.15859713, 0.23523416, 0.09386846, -0.00938544, 0.03344379, -0.32481372, 0.01918831, -0.30792397, -0.07556169, 0.0647544, 0.07104038, -0.13188173, 0.08727673, -0.14857149, 0.13102427, -0.04455549, -0.16638663, 0.02837801, -0.14280432, 0.37553906, 0.12850982, 0.43864357, 0.2422004, 0.05082903, -0.05150735, 0.36962265, -0.22969069, -0.07804825, -0.12916301, 0.13949509, 0.12022977, -0.14528228, -0.22805338, -0.25060785, 0.34432638, -0.12010831, 0.07955822, 0.10318628, 0.00446632, -0.15771018, 0.09991486, 0.14806956, -0.10352413, -0.4958187, -0.04273197, 0.04410425, -0.15763174, -0.2106003, -0.03381369, -0.01390813, -0.02075021, 0.07403012, -0.13231455, 0.06060757, -0.4392861, -0.08318454, -0.17470616, 0.17879955, -0.11317824, 0.18729904, -0.11896321, 0.13306184, 0.0132046, 0.12019924, 0.13936281, 0.20832884, -0.17875361, -0.207007, -0.23944192, -0.21709874, -0.28231415, 0.01215786, -0.3111035, -0.04319837, 0.01195299, -0.070034, -0.22250277, -0.02588881, 0.13571468, 0.12414245, 0.09790774, -0.38581854, 0.31134087, 0.03814654, 0.05669834, 0.5565824, 0.369265, -0.2926228, 0.05639524]"
Lift,"[0.10025796, -0.08073669, -0.15674075, 0.11173299, -0.05155879, 0.13386004, 0.38558942, -0.05362957, 0.25254163, 0.08360944, 0.1451675, -0.14367963, -0.3289231, 0.03650327, -0.1064587, -0.16462451, -0.0345405, 0.10440201, -0.0329673, 0.04001334, -0.17939202, 0.19590735, 0.03880651, -0.34691456, 0.02825075, -0.13774067, 0.23635183, 0.22405596, 0.15219942, 0.13722266, 0.03326632, 0.08181544, 0.26068544, -0.40985668, 0.08211653, 0.02264724, 0.05430206, -0.1287556, -0.02422498, 0.3488767, -0.22386214, 0.1518816, -0.15991771, 0.03800964, 0.22837198, 0.05142561, -0.00732226, 0.25227463, 0.29403767, -0.11318159, -0.24923767, 0.0277654, -0.10441062, -0.20019054, 0.08736745, 0.02271955, -0.13148682, -0.1216749, 0.00450578, -0.08861663, 0.0786803, -0.26259744, -0.05369605, 0.04243274, 0.1830176, 0.02443959, 0.05767249, -0.21411152, 0.10473577, 0.1526895, -0.01015495, 0.12292202, -0.0995919, 0.00315445, -0.20528264, -0.14777818, -0.278511, -0.23756313, 0.02839704, -0.19362384, -0.22956917, -0.09465454, -0.29787946, -0.11677057, 0.10098033, 0.33329517, 0.11375384, 0.06397638, -0.3166065, 0.35532552, -0.05731739, -0.01355018, 0.3197395, 0.3853896, -0.26319334, -0.02923193]"
Paradise,"[0.20467813, -0.10373613, -0.2373478, 0.08180227, 0.12155166, 0.23647894, 0.37695077, 0.17900251, 0.14680181, 0.3175516, -0.04241269, -0.02194989, -0.4029153, -0.15919633, -0.01796369, -0.27077463, -0.1297033, 0.337991, -0.10030846, -0.01597135, -0.22306617, 0.1089432, 0.05684425, -0.39126527, 0.18037198, -0.14322533, 0.35959196, 0.18373033, 0.03211974, 0.24467859, -0.13705859, -0.09911681, 0.2722192, -0.00490651, 0.12439134, -0.14310056, 0.16689746, 0.18176481, -0.22288136, 0.1649512, -0.18054181, 0.07287824, -0.39388478, 0.02789569, 0.0912485, 0.20948231, -0.04993284, 0.33599055, 0.23221283, -0.0745551, -0.25373593, -0.09933258, 0.03813793, -0.09490059, -0.08003929, 0.10275988, -0.12581426, -0.14475834, 0.06993907, -0.07454895, -0.02975583, -0.46208766, -0.05183365, 0.04751268, 0.2461065, 0.06387634, 0.06343677, -0.16346307, 0.06254658, 0.22935203, 0.10879798, 0.1700289, 0.04302448, -0.12652716, -0.38867941, -0.30074596, -0.392637, -0.09056973, -0.08672559, -0.24739222, -0.12370936, -0.11005798, -0.3712503, -0.09496512, -0.02265904, 0.13373758, 0.12935667, 0.25434506, -0.36892527, 0.29944226, -0.21168552, 0.10261793, 0.5501396, 0.2455809, 0.0144464, 0.00470379]"
The Bone Collector,"[0.25453305, -0.19749005, -0.24859193, 0.27985957, 0.03532303, 0.05158719, 0.14798698, 0.31955653, 0.2434205, 0.20564248, -0.0114034, 0.02044439, -0.34658197, -0.05875093, -0.29935828, 0.03087051, -0.0451224, 0.15039387, -0.18528333, -0.00573749, -0.3273967, 0.16678606, 0.06053771, -0.22942226, 0.2116963, -0.13606171, 0.5485213, 0.19647066, 0.33410612, 0.29870865, 0.06795452, -0.28742936, 0.30523932, -0.11012553, -0.05105546, -0.14770097, 0.25346315, 0.07357028, -0.00746645, -0.32482576, -0.33146462, 0.08283117, 0.06765892, 0.11144108, 0.03584908, 0.0555767, -0.23149718, 0.2870359, 0.04387885, 0.07198438, -0.4973823, 0.2943758, 0.03002915, -0.2542333, -0.19402882, 0.11273535, -0.09155752, 0.18976972, 0.16476582, -0.1448648, -0.10830222, -0.42524612, -0.11177116, -0.30363548, 0.04551414, -0.13538377, 0.10152619, -0.12725833, 0.13022242, -0.00488876, 0.1406969, 0.348966, 0.1999764, -0.06599721, 0.03825554, -0.31699982, -0.23111367, -0.2726419, -0.04604825, -0.22911341, -0.09384419, -0.03500935, -0.17723177, -0.17914747, -0.02106536, -0.08474036, 0.20055747, 0.04429895, -0.33370936, 0.17779192, -0.10650441, -0.10647594, 0.6490129, 0.26984185, -0.1829468, 0.11681419]"
